epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.0937,1.22145,1.45854,1.23654,0.69122,0.48786,0.57465,0.41884,1.08113,1.12492,1.12567,8.33e-06,8.33e-06,8.33e-06
2,62.3107,1.18551,1.38107,1.22189,0.66926,0.58725,0.63866,0.4737,1.07182,1.09714,1.12008,1.74175e-05,1.74175e-05,1.74175e-05
3,90.1009,1.1439,1.33147,1.18807,0.67754,0.58312,0.64683,0.48445,1.06122,1.07687,1.1119,2.47825e-05,2.47825e-05,2.47825e-05
4,122.022,1.12681,1.3037,1.19752,0.69455,0.59908,0.65887,0.49754,1.051,1.04767,1.10485,2.93627e-05,2.93627e-05,2.93627e-05
5,153.814,1.10503,1.20739,1.15736,0.69866,0.59096,0.63885,0.48046,1.04288,1.02202,1.09867,3.05361e-05,3.05361e-05,3.05361e-05
6,184.323,1.09904,1.23026,1.14796,0.68721,0.62877,0.68568,0.51773,1.03405,1.00262,1.0928,2.82447e-05,2.82447e-05,2.82447e-05
7,214.574,1.07953,1.15893,1.16037,0.69783,0.6289,0.69032,0.52051,1.02772,0.98968,1.08846,2.30408e-05,2.30408e-05,2.30408e-05
8,247.378,1.10875,1.15919,1.16303,0.69964,0.59117,0.64873,0.48844,1.02371,0.97694,1.08505,1.60471e-05,1.60471e-05,1.60471e-05
9,280.908,1.0627,1.13742,1.16236,0.69804,0.58809,0.6574,0.50016,1.02031,0.96992,1.0822,8.8323e-06,8.8323e-06,8.8323e-06
10,314.99,1.07255,1.12247,1.14666,0.6922,0.59608,0.66069,0.50307,1.02041,0.96979,1.08151,3.21768e-06,3.21768e-06,3.21768e-06
